" ","Job search
(1)","Vocational
(2)","Computer
(3)","Language
(4)"
"Panel A: Female","","","",""
"Constant","-1.24***","3.67***","2.34***","3.44***"
"","(0.17)","(0.56)","(0.59)","(0.46)"
"Female","0.65**","-1.01","2.65***","-1.89**"
"","(0.25)","(0.86)","(0.84)","(0.77)"
"Panel B: Foreigner","","","",""
"Constant","-1.18***","2.46***","3.79***","3.74***"
"","(0.16)","(0.53)","(0.50)","(0.51)"
"Foreigner","0.62**","2.09**","-0.79","-3.12***"
"","(0.26)","(0.89)","(0.91)","(0.71)"
"Panel C: Employability","","","",""
"Constant","-0.10","5.44***","5.81***","2.97***"
"","(0.33)","(1.04)","(1.08)","(0.84)"
"Medium employability","-0.95***","-2.41**","-2.59**","-0.48"
"","(0.36)","(1.16)","(1.19)","(0.95)"
"High employability","-1.57***","-4.40***","-3.92**","-0.02"
"","(0.50)","(1.49)","(1.67)","(1.45)"
"F-statistic","5.37***","4.40**","3.23**","0.17"
